Constituency,Caste Category,Winner_Political_Party,Winner_Votes,RunnerUp_Political_Party,RunnerUp_Votes,Margin_Winner_VS_RunnerUp_Votes,Others_Votes,Total_Votes_Pooled,Total_Electors,Margin_Electors_VS_Pooled,Religion_won,,,,,,,,,
Adilabad,ST,TeluguDesamParty,372268,INC,257181,115087,22147,651596,704196,52600,Others,,,,,,,,,
Agra,SC,BharatiyaJanataParty,203697,BahujanSamajParty,193982,9715,39073,436752,477709,40957,Hindu,,,,,,,,,
AhmedabadEast,GEN,BharatiyaJanataParty,318846,INC,232790,86056,19599,571235,604754,33519,Hindu,,,,,,,,,
AhmedabadWest,SC,BharatiyaJanataParty,376823,INC,285696,91127,31758,694277,743468,49191,Hindu,,,,,,,,,
Ahmednagar,GEN,BharatiyaJanataParty,312047,NationalistCongressParty,265316,46731,15226,592589,606035,13446,Hindu,,,,,,,,,
Ajmer,GEN,INC,405575,BharatiyaJanataParty,329440,76135,15383,750398,766739,16341,Hindu,,,,,,,,,
Akbarpur,GEN,INC,192549,BahujanSamajParty,160506,32043,14937,367992,426981,58989,Christian,,,,,,,,,
Akola,GEN,BharatiyaJanataParty,287526,BharipaBahujanMahasangh,222678,64848,14527,524731,568161,43430,Hindu,,,,,,,,,
Alappuzha,GEN,INC,468679,CommunistPartyof,411044,57635,30524,910247,937443,27196,Muslim,,,,,,,,,
Alathur,SC,CommunistPartyof,387352,INC,366392,20960,21795,775539,795213,19674,Hindu,,,,,,,,,
Aligarh,GEN,BahujanSamajParty,193444,SamajwadiParty,176887,16557,25598,395929,439221,43292,Muslim,,,,,,,,,
Alipurduars,SC,RevolutionarySocialistParty,384890,AllIndiaTrinamool,272068,112822,23014,679972,720400,40428,Others,,,,,,,,,
Allahabad,GEN,SamajwadiParty,209431,BahujanSamajParty,174511,34920,32974,416916,433052,16136,Others,,,,,,,,,
Almora,SC,INC,200824,BharatiyaJanataParty,193874,6950,11399,406097,420346,14249,Hindu,,,,,,,,,
Alwar,GEN,INC,450119,BharatiyaJanataParty,293500,156619,25434,769053,802265,33212,Hindu,,,,,,,,,
Amalapuram,SC,INC,368501,PrajaRajyamParty,328496,40005,19202,716199,760847,44648,Christian,,,,,,,,,
Ambala,SC,INC,322258,BharatiyaJanataParty,307688,14570,20795,650741,675699,24958,Muslim,,,,,,,,,
AmbedkarNagar,GEN,BahujanSamajParty,259487,SamajwadiParty,236751,22736,24123,520361,554095,33734,Others,,,,,,,,,
Amethi,GEN,INC,464195,BahujanSamajParty,93997,370198,27350,585542,610940,25398,Others,,,,,,,,,
Amravati,SC,ShivSena,314286,RepublicanPartyof,252570,61716,37565,604421,650632,46211,Others,,,,,,,,,
Amreli,GEN,BharatiyaJanataParty,247666,INC,210349,37317,31895,489910,524524,34614,Hindu,,,,,,,,, 
Amritsar,GEN,BharatiyaJanataParty,392046,INC,385188,6858,37802,815036,829938,14902,Hindu,,,,,,,,,
Amroha,GEN,RashtriyaLokDal,283182,SamajwadiParty,191099,92083,31699,505980,534241,28261,Christian,,,,,,,,,
Anakapalli,GEN,INC,369968,TeluguDesamParty,317056,52912,18847,705871,733777,27906,Muslim,,,,,,,,,
Anand,GEN,INC,348655,BharatiyaJanataParty,281337,67318,19731,649723,675221,25498,Muslim,,,,,,,,,
AnandpurSahib,GEN,INC,404836,ShiromaniAkaliDal,337632,67204,35330,777798,817821,40023,Others,,,,,,,,,
Anantapur,GEN,INC,457876,TeluguDesamParty,379955,77921,22974,860805,918907,58102,Others,,,,,,,,,
Anantnag,GEN,JammuKashmir,148317,JammuandKashmirParty,143093,5224,13489,304899,328354,23455,Hindu,,,,,,,,,
AndamanandNicobarIslands,GEN,BharatiyaJanataParty,75211,INC,72221,2990,39346,186778,229139,42361,Hindu,,,,,,,,,
Aonla,GEN,BharatiyaJanataParty,216503,SamajwadiParty,208822,7681,36000,461325,480866,19541,Hindu,,,,,,,,,
Arakkonam,SC,DravidaMunnetraKazhagam,415041,PattaliMakkalKatchi,305245,109796,24853,745139,790190,45051,Christian,,,,,,,,,
Araku,ST,INC,360458,CommunistPartyof,168014,192444,39740,568212,598326,30114,Others,,,,,,,,,
Arambagh,SC,CommunistPartyof,630254,INC,428696,201558,26810,1085760,1124323,38563,Muslim,,,,,,,,,
Arani,GEN,INC,396728,AllIndiaAnnaKazhagam,289898,106830,13402,700028,755841,55813,Others,,,,,,,,,
Araria,GEN,BharatiyaJanataParty,282742,LokJanshaktiParty,260240,22502,10359,553341,587780,34439,Others,,,,,,,,,
Arrah,GEN,JanataDal,212726,LokJanshaktiParty,138006,74720,37082,387814,425469,37655,Christian,,,,,,,,,
ArunachalEast,ST,INC,115423,BharatiyaJanataParty,46974,68449,31771,194168,253198,59030,Christian,,,,,,,,,
